Building Address,Under 5 years,Under 5 years,5 to 9 years,5 to 9 years,10 to 14 years,10 to 14 years,15 to 19 years,15 to 19 years,20 to 24 years,20 to 24 years,25 to 34 years,25 to 34 years,35 to 44 years,35 to 44 years,45 to 54 years,45 to 54 years,55 to 59 years,55 to 59 years,60 to 64 years,60 to 64 years,65 to 74 years,65 to 74 years,75 to 84 years,75 to 84 years,85 years and over,85 years and over,Single Senior only,Single Senior only,2+ Seniors only,2+ Seniors only,Single non-senior,Single non-senior,"Couple, no child(ren)","Couple, no child(ren)",2 parents + child(ren) <18,2 parents + child(ren) <18,2 parents + child(ren)>=18,2 parents + child(ren)>=18,Single parent + child(ren)<18,Single parent + child(ren)<18,Single parent + child(ren)>=18,Single parent + child(ren)>=18,Single grandparent + child(ren)<18,Single grandparent + child(ren)<18,Single grandparent + child(ren)>=18,Single grandparent + child(ren)>=18,Other + child(ren)<18,Other + child(ren)<18,"Other, no child(ren)<18","Other, no child(ren)<18",Employment ,Employment ,Own Business,Own Business,Unemployment Insurance,Unemployment Insurance,Public Assistance,Public Assistance,Social Security,Social Security,SSI,SSI,VA Benefits,VA Benefits,Pension,Pension,Child Support,Child Support,Other,Other,Non-Verifiable,Non-Verifiable,Non-Verifiable only,Non-Verifiable only
RUTLAND TOWERS,5,5%,12,12%,3,3%,3,3%,11,11%,13,12%,10,10%,9,9%,6,6%,6,6%,11,11%,14,13%,1,1%,19,31%,4,7%,12,20%,0,0%,1,2%,1,2%,14,23%,8,13%,0,0%,0,0%,0,0%,2,3%,25,41%,0,0%,2,3%,10,16%,24,39%,17,28%,0,0%,11,18%,1,2%,1,2%,5,8%,2,3%
SACK WERN,40,5%,63,7%,66,8%,84,10%,87,10%,102,12%,85,10%,121,14%,56,6%,46,5%,82,9%,36,4%,6,1%,76,19%,11,3%,94,23%,8,2%,15,4%,9,2%,89,22%,74,18%,9,2%,2,0%,10,2%,10,2%,164,40%,0,0%,30,7%,49,12%,136,33%,123,30%,1,0%,36,9%,1,0%,31,8%,1,0%,1,0%
SAINT MARY'S PARK,126,5%,202,9%,270,12%,240,10%,192,8%,237,10%,268,12%,238,10%,115,5%,89,4%,150,7%,124,5%,41,2%,160,16%,42,4%,156,16%,17,2%,31,3%,13,1%,323,33%,147,15%,37,4%,15,2%,29,3%,22,2%,433,44%,1,0%,48,5%,150,15%,324,33%,285,29%,7,1%,112,11%,34,3%,17,2%,31,3%,17,2%
SAINT NICHOLAS,182,5%,242,7%,317,9%,364,10%,376,11%,421,12%,335,10%,429,12%,200,6%,178,5%,242,7%,129,4%,67,2%,262,18%,35,2%,211,14%,15,1%,48,3%,25,2%,366,24%,289,19%,97,6%,39,3%,52,3%,56,4%,669,45%,0,0%,101,7%,168,11%,472,32%,391,26%,20,1%,132,9%,46,3%,21,1%,59,4%,30,2%
SAMUEL (CITY),80,6%,120,8%,123,9%,119,8%,155,11%,196,14%,163,11%,228,16%,85,6%,74,5%,66,5%,17,1%,6,0%,55,8%,14,2%,159,24%,9,1%,23,4%,13,2%,195,30%,123,19%,20,3%,5,1%,18,3%,18,3%,439,67%,0,0%,43,7%,58,9%,159,24%,47,7%,2,0%,37,6%,13,2%,7,1%,27,4%,10,2%
SARATOGA VILLAGE,19,6%,23,7%,33,11%,29,9%,31,10%,42,14%,38,12%,35,11%,14,5%,8,3%,13,4%,19,6%,3,1%,17,14%,4,3%,18,15%,1,1%,7,6%,5,4%,36,29%,21,17%,9,7%,0,0%,3,2%,3,2%,67,54%,0,0%,7,6%,17,14%,34,27%,28,23%,0,0%,15,12%,6,5%,28,23%,4,3%,2,2%
SEDGWICK,62,4%,102,7%,114,7%,144,9%,133,9%,153,10%,140,9%,181,12%,100,7%,104,7%,190,12%,80,5%,27,2%,193,25%,38,5%,143,18%,12,2%,16,2%,9,1%,178,23%,121,16%,24,3%,8,1%,13,2%,23,3%,339,44%,1,0%,29,4%,69,9%,284,37%,214,28%,7,1%,83,11%,24,3%,0,0%,22,3%,10,1%
SEWARD PARK EXTENSION,27,3%,47,6%,49,6%,80,10%,83,10%,75,9%,62,8%,105,13%,55,7%,58,7%,93,11%,65,8%,25,3%,90,25%,27,8%,52,15%,5,1%,22,6%,19,5%,55,16%,39,11%,12,3%,6,2%,12,3%,15,4%,157,44%,1,0%,20,6%,37,10%,158,45%,111,31%,4,1%,39,11%,12,3%,8,2%,32,9%,2,1%
SHEEPSHEAD BAY,124,5%,195,8%,201,8%,271,11%,238,10%,244,10%,234,10%,318,13%,158,6%,119,5%,172,7%,115,5%,46,2%,178,17%,47,5%,145,14%,13,1%,49,5%,42,4%,278,27%,189,18%,39,4%,11,1%,24,2%,29,3%,495,47%,0,0%,61,6%,134,13%,347,33%,313,30%,3,0%,78,7%,9,1%,68,7%,19,2%,10,1%
SHELTON HOUSE,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,1,1%,8,5%,64,38%,70,42%,23,14%,133,89%,15,10%,0,0%,1,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,14,9%,0,0%,0,0%,1,1%,117,78%,73,49%,0,0%,31,21%,0,0%,0,0%,0,0%,,0%
SMITH,124,3%,205,5%,263,6%,344,8%,332,8%,405,10%,337,8%,523,12%,283,7%,339,8%,497,12%,400,9%,202,5%,453,24%,179,9%,268,14%,46,2%,94,5%,133,7%,226,12%,278,15%,70,4%,37,2%,50,3%,75,4%,817,43%,0,0%,77,4%,148,8%,1023,54%,640,34%,21,1%,327,17%,3,0%,112,6%,2,0%,1,0%
SOTOMAYOR,189,5%,259,7%,303,9%,413,12%,396,11%,387,11%,338,10%,411,12%,190,5%,161,5%,268,8%,125,4%,53,2%,278,19%,34,2%,207,14%,17,1%,55,4%,26,2%,406,27%,282,19%,64,4%,36,2%,35,2%,41,3%,677,46%,1,0%,64,4%,185,12%,506,34%,469,32%,9,1%,104,7%,53,4%,63,4%,3,0%,1,0%
SOUNDVIEW,177,6%,230,8%,286,9%,405,13%,315,10%,289,10%,326,11%,390,13%,131,4%,125,4%,227,7%,97,3%,33,1%,214,17%,18,1%,207,17%,8,1%,67,5%,21,2%,339,27%,220,18%,67,5%,34,3%,29,2%,27,2%,562,45%,1,0%,56,4%,169,14%,384,31%,449,36%,6,0%,79,6%,31,2%,24,2%,36,3%,10,1%
SOUTH BEACH,45,5%,81,9%,79,8%,121,13%,77,8%,94,10%,91,10%,143,15%,62,7%,45,5%,52,6%,33,4%,11,1%,58,14%,10,2%,85,20%,10,2%,8,2%,6,1%,128,31%,69,17%,21,5%,4,1%,6,1%,13,3%,156,37%,0,0%,17,4%,45,11%,144,34%,135,32%,4,1%,36,9%,23,6%,0,0%,10,2%,5,1%
SOUTH BRONX AREA (SITE 402),34,8%,40,9%,53,13%,60,14%,47,11%,56,13%,46,11%,40,9%,17,4%,14,3%,11,3%,5,1%,0,0%,5,4%,1,1%,2,2%,0,0%,16,14%,6,5%,32,29%,17,15%,21,19%,1,1%,5,4%,6,5%,79,71%,0,0%,10,9%,17,15%,23,21%,29,26%,0,0%,3,3%,10,9%,0,0%,4,4%,,0%
SOUTH JAMAICA I,59,7%,76,9%,74,8%,81,9%,86,10%,113,13%,81,9%,113,13%,55,6%,39,4%,54,6%,32,4%,16,2%,78,18%,6,1%,114,26%,12,3%,7,2%,3,1%,131,30%,53,12%,18,4%,2,0%,10,2%,5,1%,200,46%,0,0%,29,7%,47,11%,123,28%,95,22%,5,1%,29,7%,10,2%,20,5%,6,1%,6,1%
SOUTH JAMAICA II,93,6%,126,8%,164,11%,174,12%,156,10%,181,12%,140,9%,153,10%,95,6%,59,4%,76,5%,53,4%,25,2%,92,16%,11,2%,77,13%,9,2%,22,4%,7,1%,194,33%,107,18%,29,5%,11,2%,19,3%,15,3%,266,45%,0,0%,41,7%,84,14%,194,33%,159,27%,7,1%,54,9%,31,5%,22,4%,3,1%,3,1%
STANTON STREET,1,3%,1,3%,4,11%,9,24%,8,22%,1,3%,5,14%,6,16%,2,5%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,8%,1,8%,5,42%,4,33%,0,0%,0,0%,1,8%,0,0%,5,42%,0,0%,0,0%,5,42%,2,17%,6,50%,0,0%,0,0%,0,0%,0,0%,0,0%,,0%
STAPLETON,164,8%,247,13%,259,13%,269,14%,167,9%,217,11%,193,10%,174,9%,92,5%,65,3%,61,3%,21,1%,5,0%,60,9%,10,2%,93,14%,6,1%,46,7%,14,2%,258,40%,91,14%,34,5%,1,0%,24,4%,6,1%,289,45%,3,0%,51,8%,150,23%,141,22%,213,33%,3,0%,21,3%,28,4%,24,4%,8,1%,3,0%
STEBBINS AVENUE-HEWITT PLACE,24,8%,18,6%,25,9%,31,11%,37,13%,34,12%,32,11%,28,10%,24,8%,18,6%,17,6%,3,1%,2,1%,10,8%,4,3%,19,16%,3,3%,6,5%,0,0%,32,27%,22,18%,17,14%,0,0%,2,2%,4,3%,64,54%,0,0%,6,5%,13,11%,27,23%,38,32%,0,0%,7,6%,2,2%,14,12%,3,3%,1,1%
STERLING PLACE REHABS (SAINT JOHNS-STERLING),16,5%,30,10%,37,12%,57,19%,36,12%,30,10%,37,12%,26,9%,15,5%,7,2%,9,3%,4,1%,1,0%,3,4%,0,0%,2,2%,3,4%,4,5%,3,4%,37,45%,17,20%,1,1%,0,0%,12,14%,1,1%,43,52%,0,0%,9,11%,18,22%,20,24%,16,19%,0,0%,2,2%,3,4%,6,7%,0,0%,,0%
STERLING PLACE REHABS (STERLING-BUFFALO),19,5%,44,12%,44,12%,33,9%,50,14%,46,13%,36,10%,44,12%,15,4%,11,3%,7,2%,1,0%,3,1%,6,5%,0,0%,11,9%,0,0%,2,2%,0,0%,51,41%,32,26%,4,3%,1,1%,14,11%,2,2%,68,55%,0,0%,2,2%,31,25%,24,20%,32,26%,0,0%,2,2%,4,3%,5,4%,0,0%,,0%
STRAUS,14,3%,24,5%,40,8%,38,7%,44,8%,47,9%,49,9%,69,13%,41,8%,36,7%,53,10%,54,10%,22,4%,68,26%,18,7%,55,21%,8,3%,6,2%,10,4%,38,14%,36,14%,12,5%,5,2%,2,1%,8,3%,95,36%,1,0%,16,6%,17,6%,125,47%,84,32%,1,0%,33,12%,6,2%,19,7%,8,3%,1,0%
STUYVESANT GARDENS I,43,5%,76,9%,82,9%,121,14%,105,12%,93,11%,84,10%,119,14%,46,5%,33,4%,54,6%,14,2%,5,1%,25,8%,8,2%,38,12%,2,1%,11,3%,4,1%,98,30%,85,26%,33,10%,10,3%,7,2%,7,2%,177,54%,0,0%,16,5%,47,14%,105,32%,79,24%,1,0%,23,7%,8,2%,3,1%,16,5%,7,2%
STUYVESANT GARDENS II,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,2%,64,41%,57,37%,32,21%,140,95%,8,5%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,2%,0,0%,0,0%,2,1%,121,82%,51,34%,0,0%,60,41%,0,0%,3,2%,1,1%,,0%
SUMNER,113,5%,144,6%,188,8%,264,11%,237,10%,238,10%,261,11%,281,12%,137,6%,113,5%,224,9%,139,6%,30,1%,221,20%,34,3%,182,17%,11,1%,35,3%,25,2%,249,23%,212,19%,48,4%,21,2%,21,2%,29,3%,472,43%,0,0%,46,4%,109,10%,433,40%,337,31%,5,0%,91,8%,36,3%,139,13%,18,2%,9,1%
SURFSIDE GARDENS,30,3%,59,5%,71,6%,105,9%,98,9%,74,7%,68,6%,98,9%,55,5%,45,4%,159,14%,200,18%,55,5%,246,43%,74,13%,57,10%,9,2%,14,2%,9,2%,63,11%,50,9%,20,3%,7,1%,13,2%,12,2%,155,27%,0,0%,19,3%,36,6%,174,30%,354,62%,0,0%,33,6%,4,1%,15,3%,5,1%,3,1%
SUTTER AVENUE-UNION STREET,31,12%,26,10%,26,10%,19,7%,36,14%,36,14%,24,9%,31,12%,10,4%,13,5%,7,3%,5,2%,1,0%,13,13%,1,1%,11,11%,0,0%,2,2%,2,2%,33,34%,21,21%,12,12%,0,0%,2,2%,1,1%,65,66%,0,0%,8,8%,14,14%,14,14%,16,16%,0,0%,3,3%,7,7%,1,1%,10,10%,1,1%
TAFT,146,5%,222,7%,257,8%,322,10%,296,9%,351,11%,338,10%,387,12%,189,6%,152,5%,281,9%,207,6%,87,3%,283,19%,64,4%,206,14%,26,2%,57,4%,36,2%,308,21%,271,19%,83,6%,26,2%,38,3%,56,4%,611,42%,7,0%,90,6%,154,11%,565,39%,435,30%,4,0%,180,12%,37,3%,46,3%,32,2%,13,1%
TAPSCOTT STREET REHAB,27,7%,31,8%,34,9%,35,9%,46,12%,51,14%,43,12%,48,13%,17,5%,20,5%,15,4%,4,1%,1,0%,15,10%,3,2%,27,17%,6,4%,2,1%,2,1%,59,38%,23,15%,12,8%,0,0%,3,2%,3,2%,91,59%,0,0%,8,5%,24,15%,26,17%,34,22%,0,0%,5,3%,6,4%,14,9%,3,2%,1,1%
TAYLOR STREET-WYTHE AVENUE,80,6%,96,7%,91,7%,109,8%,116,9%,136,11%,95,7%,97,7%,85,7%,125,10%,144,11%,63,5%,57,4%,120,23%,48,9%,81,16%,22,4%,62,12%,46,9%,59,11%,37,7%,15,3%,12,2%,9,2%,11,2%,244,47%,10,2%,14,3%,41,8%,185,35%,166,32%,2,0%,29,6%,9,2%,17,3%,18,3%,9,2%
TELLER AVENUE-EAST 166TH STREET,16,9%,15,9%,11,7%,13,8%,15,9%,19,11%,16,9%,14,8%,6,4%,11,7%,21,12%,11,7%,1,1%,24,27%,3,3%,19,22%,0,0%,4,5%,1,1%,25,28%,8,9%,1,1%,2,2%,1,1%,0,0%,34,39%,0,0%,3,3%,9,10%,29,33%,26,30%,1,1%,3,3%,4,5%,1,1%,2,2%,,0%
THOMAS APARTMENTS,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,0,0%,3,3%,26,28%,35,38%,27,29%,77,91%,5,6%,1,1%,2,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,4,5%,0,0%,0,0%,1,1%,63,74%,41,48%,0,0%,28,33%,0,0%,0,0%,0,0%,,0%
THROGGS NECK,135,5%,219,8%,281,10%,316,12%,283,11%,301,11%,303,11%,309,11%,118,4%,140,5%,184,7%,83,3%,19,1%,189,17%,15,1%,163,14%,9,1%,29,3%,31,3%,341,30%,222,19%,60,5%,18,2%,39,3%,29,3%,502,44%,0,0%,61,5%,148,13%,347,30%,366,32%,5,0%,102,9%,44,4%,36,3%,21,2%,15,1%
THROGGS NECK ADDITION,38,5%,74,11%,62,9%,58,8%,80,11%,80,11%,56,8%,84,12%,44,6%,30,4%,52,7%,31,4%,10,1%,44,16%,11,4%,44,16%,7,3%,17,6%,8,3%,69,25%,40,14%,24,9%,4,1%,4,1%,5,2%,111,40%,0,0%,17,6%,28,10%,109,39%,89,32%,1,0%,25,9%,15,5%,5,2%,10,4%,6,2%
TILDEN,187,7%,260,10%,275,10%,292,11%,301,11%,339,13%,226,9%,297,11%,117,4%,103,4%,143,5%,79,3%,20,1%,122,12%,21,2%,136,14%,10,1%,38,4%,22,2%,344,35%,173,17%,43,4%,21,2%,31,3%,28,3%,453,46%,0,0%,53,5%,177,18%,309,31%,298,30%,6,1%,56,6%,24,2%,57,6%,8,1%,3,0%
TODT HILL,66,6%,71,7%,81,8%,94,9%,110,11%,109,11%,86,8%,132,13%,61,6%,64,6%,86,8%,45,4%,16,2%,107,21%,9,2%,101,20%,11,2%,13,3%,11,2%,119,24%,84,17%,21,4%,4,1%,9,2%,9,2%,217,44%,1,0%,20,4%,48,10%,219,44%,132,27%,2,0%,89,18%,18,4%,8,2%,30,6%,2,0%
TOMPKINS,159,6%,237,8%,299,11%,329,12%,307,11%,326,11%,279,10%,346,12%,140,5%,114,4%,177,6%,112,4%,18,1%,142,14%,23,2%,129,12%,30,3%,62,6%,30,3%,321,31%,165,16%,40,4%,21,2%,41,4%,32,3%,478,46%,0,0%,71,7%,141,14%,339,33%,318,31%,8,1%,79,8%,40,4%,44,4%,22,2%,14,1%
TWIN PARKS EAST (SITE 9),0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,8,4%,103,46%,93,42%,20,9%,208,96%,7,3%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,15,7%,0,0%,3,1%,3,1%,153,71%,110,51%,0,0%,38,18%,0,0%,1,0%,0,0%,,0%
TWO BRIDGES URA (SITE 7),26,4%,29,4%,44,7%,57,9%,64,10%,59,9%,58,9%,75,12%,33,5%,39,6%,82,13%,66,10%,13,2%,42,17%,24,10%,18,7%,5,2%,16,6%,24,10%,29,12%,43,17%,14,6%,9,4%,13,5%,11,4%,115,46%,3,1%,22,9%,14,6%,133,54%,87,35%,1,0%,40,16%,9,4%,1,0%,7,3%,,0%
UNION AVENUE-EAST 163RD STREET,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,1%,3,1%,3,1%,6,3%,112,50%,75,33%,23,10%,173,87%,17,9%,0,0%,8,4%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,9,5%,0,0%,1,1%,3,2%,144,72%,123,62%,2,1%,40,20%,0,0%,1,1%,0,0%,,0%
UNION AVENUE-EAST 166TH STREET,13,5%,24,9%,25,9%,28,10%,30,11%,32,12%,32,12%,32,12%,19,7%,18,6%,13,5%,9,3%,2,1%,13,11%,4,3%,22,18%,1,1%,3,3%,0,0%,33,28%,27,23%,6,5%,1,1%,5,4%,4,3%,67,56%,0,0%,6,5%,19,16%,34,29%,38,32%,1,1%,5,4%,12,10%,1,1%,2,2%,1,1%
"UNITY PLAZA (SITES 17,24,25A)",30,6%,51,11%,56,12%,60,13%,51,11%,53,11%,40,9%,49,11%,25,5%,15,3%,25,5%,10,2%,1,0%,15,9%,1,1%,29,18%,5,3%,9,5%,3,2%,55,33%,28,17%,9,5%,2,1%,5,3%,4,2%,99,60%,0,0%,7,4%,19,12%,44,27%,69,42%,0,0%,7,4%,11,7%,2,1%,6,4%,2,1%
UNITY PLAZA (SITES 4-27),79,7%,119,10%,105,9%,128,11%,152,13%,149,12%,131,11%,123,10%,60,5%,43,4%,69,6%,26,2%,10,1%,49,11%,9,2%,52,12%,9,2%,19,4%,11,2%,145,32%,83,18%,28,6%,10,2%,16,4%,18,4%,228,51%,1,0%,24,5%,82,18%,125,28%,145,32%,3,1%,21,5%,22,5%,8,2%,19,4%,8,2%
UNIVERSITY AVENUE REHAB,25,5%,50,10%,31,6%,39,7%,50,10%,75,14%,43,8%,55,11%,41,8%,40,8%,52,10%,20,4%,1,0%,39,17%,9,4%,28,12%,14,6%,11,5%,2,1%,51,22%,22,10%,7,3%,3,1%,14,6%,28,12%,112,49%,0,0%,11,5%,26,11%,70,31%,78,34%,1,0%,16,7%,11,5%,5,2%,22,10%,2,1%
UPACA (SITE 5),0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,2,1%,8,4%,60,32%,79,42%,40,21%,159,91%,12,7%,1,1%,3,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,9,5%,0,0%,0,0%,5,3%,127,73%,95,54%,5,3%,36,21%,0,0%,7,4%,0,0%,,0%
UPACA (SITE 6),0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,1%,1,1%,6,4%,64,40%,53,33%,34,21%,137,92%,7,5%,1,1%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,1%,7,5%,0,0%,1,1%,1,1%,107,72%,81,54%,2,1%,28,19%,0,0%,1,1%,0,0%,,0%
VAN DYKE I,293,7%,397,10%,407,10%,500,12%,454,11%,501,12%,417,10%,459,11%,173,4%,149,4%,213,5%,81,2%,24,1%,184,12%,24,2%,212,13%,12,1%,54,3%,16,1%,611,38%,302,19%,82,5%,20,1%,31,2%,44,3%,785,49%,0,0%,112,7%,276,17%,373,23%,431,27%,5,0%,64,4%,61,4%,27,2%,35,2%,19,1%
VAN DYKE II,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,0,0%,3,2%,4,3%,53,41%,51,40%,16,12%,90,82%,15,14%,2,2%,2,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,1%,4,4%,0,0%,0,0%,1,1%,90,82%,52,47%,1,1%,25,23%,0,0%,16,15%,2,2%,,0%
VANDALIA AVENUE,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,1,0%,6,2%,129,39%,133,40%,60,18%,243,85%,41,14%,1,0%,2,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,14,5%,0,0%,0,0%,2,1%,204,71%,146,51%,4,1%,84,29%,0,0%,6,2%,0,0%,,0%
VLADECK,117,4%,188,6%,181,6%,175,6%,189,6%,312,11%,268,9%,354,12%,256,9%,238,8%,356,12%,214,7%,117,4%,375,25%,124,8%,289,19%,69,5%,66,4%,60,4%,228,15%,174,12%,39,3%,10,1%,42,3%,37,2%,670,44%,6,0%,63,4%,92,6%,636,42%,450,30%,7,0%,193,13%,30,2%,35,2%,52,3%,15,1%
VLADECK II,16,3%,37,7%,50,9%,47,8%,46,8%,59,11%,51,9%,70,12%,56,10%,41,7%,48,9%,27,5%,13,2%,38,16%,10,4%,28,12%,13,5%,12,5%,18,8%,46,19%,37,16%,10,4%,4,2%,11,5%,10,4%,122,51%,1,0%,20,8%,22,9%,89,38%,74,31%,1,0%,22,9%,5,2%,8,3%,3,1%,1,0%
WAGNER,241,5%,330,7%,438,9%,553,11%,491,10%,526,11%,453,9%,651,13%,275,6%,207,4%,375,8%,248,5%,91,2%,364,18%,69,3%,297,14%,12,1%,84,4%,57,3%,483,23%,389,19%,89,4%,54,3%,96,5%,63,3%,879,43%,0,0%,121,6%,259,13%,726,35%,688,33%,11,1%,196,10%,24,1%,72,4%,20,1%,6,0%
WALD,155,4%,245,6%,296,7%,336,8%,373,9%,421,10%,380,9%,530,13%,318,8%,293,7%,434,11%,235,6%,95,2%,388,21%,85,5%,288,16%,38,2%,86,5%,92,5%,272,15%,333,18%,97,5%,39,2%,64,3%,67,4%,808,44%,3,0%,84,5%,140,8%,772,42%,677,37%,3,0%,153,8%,37,2%,45,2%,48,3%,12,1%
WASHINGTON,156,5%,218,6%,300,9%,329,10%,296,9%,399,12%,342,10%,450,13%,222,6%,171,5%,274,8%,205,6%,85,2%,279,19%,57,4%,209,14%,20,1%,78,5%,66,4%,340,23%,266,18%,68,5%,32,2%,32,2%,43,3%,682,46%,12,1%,83,6%,141,9%,561,38%,509,34%,7,0%,140,9%,48,3%,79,5%,119,8%,19,1%
WEBSTER,100,6%,167,11%,155,10%,162,10%,162,10%,191,12%,133,9%,177,11%,70,4%,76,5%,109,7%,46,3%,15,1%,91,15%,16,3%,87,15%,14,2%,27,5%,12,2%,176,30%,81,14%,33,6%,12,2%,30,5%,17,3%,262,44%,0,0%,32,5%,81,14%,164,28%,205,34%,1,0%,30,5%,5,1%,5,1%,33,6%,21,4%
WEST BRIGHTON I,134,10%,159,11%,182,13%,201,14%,146,10%,143,10%,143,10%,131,9%,53,4%,37,3%,47,3%,10,1%,6,0%,40,8%,6,1%,81,17%,5,1%,28,6%,4,1%,198,41%,56,12%,24,5%,3,1%,26,5%,9,2%,214,45%,0,0%,37,8%,97,20%,146,30%,141,29%,2,0%,24,5%,27,6%,2,0%,14,3%,5,1%
WEST BRIGHTON II,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,9,9%,43,45%,33,34%,11,11%,70,84%,11,13%,0,0%,2,2%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,4%,0,0%,0,0%,2,2%,54,65%,45,54%,0,0%,21,25%,0,0%,0,0%,2,2%,,0%
WEST FARMS ROAD REHAB,20,4%,29,6%,36,8%,47,11%,47,11%,61,14%,44,10%,64,14%,22,5%,32,7%,26,6%,14,3%,5,1%,31,15%,5,2%,44,21%,2,1%,4,2%,1,0%,49,24%,33,16%,6,3%,4,2%,13,6%,14,7%,98,48%,3,1%,14,7%,28,14%,56,27%,68,33%,0,0%,9,4%,2,1%,8,4%,6,3%,5,2%
WEST FARMS SQUARE CONVENTIONAL,1,2%,5,11%,8,17%,9,20%,4,9%,5,11%,4,9%,7,15%,1,2%,1,2%,0,0%,1,2%,0,0%,1,5%,0,0%,4,21%,0,0%,0,0%,0,0%,11,58%,3,16%,0,0%,0,0%,0,0%,0,0%,11,58%,0,0%,1,5%,3,16%,2,11%,4,21%,0,0%,1,5%,0,0%,0,0%,1,5%,1,5%
WEST TREMONT AVENUE-SEDGWICK AVENUE,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,3,2%,0,0%,6,4%,66,42%,69,43%,15,9%,135,92%,7,5%,0,0%,5,3%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,10,7%,0,0%,1,1%,7,5%,95,65%,92,63%,1,1%,14,10%,0,0%,0,0%,0,0%,,0%
WHITE,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,1,0%,1,0%,4,2%,106,42%,106,42%,35,14%,227,94%,11,5%,2,1%,1,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,7,3%,1,0%,0,0%,5,2%,184,76%,123,51%,4,2%,45,19%,0,0%,2,1%,1,0%,,0%
WHITMAN,235,6%,407,10%,306,8%,389,10%,358,9%,532,14%,416,11%,442,11%,194,5%,168,4%,284,7%,118,3%,58,1%,276,17%,48,3%,292,18%,32,2%,100,6%,39,2%,419,26%,205,13%,90,6%,23,1%,50,3%,49,3%,851,52%,0,0%,62,4%,250,15%,544,34%,383,24%,8,0%,104,6%,23,1%,143,9%,14,1%,1,0%
WILSON,59,5%,104,8%,154,12%,176,14%,144,11%,118,9%,135,11%,143,11%,53,4%,37,3%,68,5%,58,5%,13,1%,40,10%,11,3%,28,7%,3,1%,29,7%,22,6%,94,24%,70,18%,37,9%,8,2%,38,10%,14,4%,197,50%,2,1%,27,7%,60,15%,150,38%,130,33%,1,0%,34,9%,8,2%,21,5%,7,2%,1,0%
WOODSIDE,136,5%,156,5%,216,7%,268,9%,295,10%,301,10%,246,8%,388,13%,214,7%,220,7%,297,10%,177,6%,71,2%,263,20%,80,6%,195,14%,36,3%,58,4%,66,5%,233,17%,254,19%,82,6%,17,1%,20,1%,44,3%,647,48%,3,0%,67,5%,126,9%,585,43%,335,25%,6,0%,192,14%,33,2%,21,2%,77,6%,16,1%
WOODSON,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,2,0%,1,0%,7,2%,207,49%,154,36%,55,13%,373,93%,23,6%,1,0%,3,1%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,14,4%,0,0%,0,0%,8,2%,301,75%,201,50%,1,0%,83,21%,0,0%,11,3%,5,1%,,0%
WSUR (BROWNSTONES),11,3%,16,5%,16,5%,15,4%,13,4%,37,11%,29,8%,64,19%,34,10%,35,10%,46,13%,17,5%,10,3%,69,30%,1,0%,98,42%,2,1%,6,3%,3,1%,24,10%,19,8%,6,3%,1,0%,0,0%,3,1%,103,44%,0,0%,10,4%,13,6%,93,40%,69,30%,1,0%,17,7%,0,0%,12,5%,2,1%,2,1%
